index,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_Unnamed: 5_level_1,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Unnamed: 8_level_1
,2,405B,3M,Inward 2 1/2 Somersault Pike,17.25,3,51.75,2
,3,107B,3M,Forward 3 1/2 Somersault Pike,19.5,3.1,60.45,2
,4,205B,3M,Back 2 1/2 Somersault Pike,22.5,3,67.5,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,21.75,3,65.25,1
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,18,2.8,50.4,5
,Totals,,,,120,17.9,358.35,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,13.5,2.6,35.1,5
,3,203B,1M,Back 1 1/2 Somersault Pike,18,2.3,41.4,2
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21.75,2.4,52.2,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20.25,2.6,52.65,1
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,19.5,2.6,50.7,1
,Totals,,,,114,14.9,282.45,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,20.25,3,60.75,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,21,3,63,1
,3,107B,3M,Forward 3 1/2 Somersault Pike,11.25,3.1,34.88,6
,4,205B,3M,Back 2 1/2 Somersault Pike,21.75,3,65.25,1
,5,305B,3M,Reverse 2 1/2 Somersault Pike,14.25,3,42.75,2
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,20.25,2.8,56.7,2
,Totals,,,,108.75,17.9,323.33,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21.5,2.4,51.6,1
,2,105B,1M,Forward 2 1/2 Somersault Pike,19.5,2.6,50.7,2
,3,203B,1M,Back 1 1/2 Somersault Pike,21.5,2.3,49.45,2
,4,303B,1M,Reverse 1 1/2 Somersault Pike,22,2.4,52.8,1
,5,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,19,2.6,49.4,2
,6,5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,16,2.5,40,5
,Totals,,,,119.5,14.8,293.95,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21.5,3,64.5,1
,2,405B,3M,Inward 2 1/2 Somersault Pike,12.5,3,37.5,5
,3,107B,3M,Forward 3 1/2 Somersault Pike,14,3.1,43.4,4
,4,305B,3M,Reverse 2 1/2 Somersault Pike,20,3,60,1
,5,205B,3M,Back 2 1/2 Somersault Pike,16.5,3,49.5,2
,6,5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,17,2.8,47.6,5
